Country	Virus Subtype	Total Influenza Cases	Number of Cases in Past 4 Weeks	% of Cases in Past 4 Weeks
United States	A/H1N1	20,890	3,241	34.50%
France	A/H1N1	6,285	1,558	29.70%
Canada	A/H1N1	5,110	877	60.60%
Spain	A/H1N1	4,885	1,072	46.00%
United Kingdom	A/H1N1	4,598	388	36.80%
Australia	A/H1N1	4,311	359	66.50%
Brazil	A/H1N1	3,505	25	25.80%
Russian Federation	A/H1N1	3,089	489	78.00%
Netherlands	A/H1N1	2,676	454	34.80%
Germany	A/H1N1	1,471	282	48.50%
Norway	A/H1N1	1,263	86	39.40%
China	A/H1N1	1,136	25	78.10%
United Arab Emirates	A/H1N1	1,109	0	0.00%
Denmark	A/H1N1	1,060	109	43.10%
South Africa	A/H1N1	885	20	62.50%
Chile	A/H1N1	874	6	42.90%
Japan	A/H1N1	842	73	59.30%
Thailand	A/H1N1	826	135	42.70%
Italy	A/H1N1	745	106	37.60%
Romania	A/H1N1	708	151	57.40%
Ireland	A/H1N1	664	105	82.00%
Costa Rica	A/H1N1	560	0	0.00%
Portugal	A/H1N1	554	25	15.80%
Singapore	A/H1N1	496	5	41.70%
Sweden	A/H1N1	494	71	50.00%
Austria	A/H1N1	437	104	39.40%
Oman	A/H1N1	431	16	20.30%
Cambodia	A/H1N1	417	21	60.00%
Hong Kong (SAR)	A/H1N1	409	52	88.10%
India	A/H1N1	404	0	0.00%
Switzerland	A/H1N1	347	72	31.30%
Bangladesh	A/H1N1	341	0	0.00%
Slovakia	A/H1N1	340	33	28.70%
Luxembourg	A/H1N1	339	32	32.30%
Belgium	A/H1N1	308	26	31.30%
Lao	A/H1N1	305	4	33.30%
Ukraine	A/H1N1	296	51	33.10%
Peru	A/H1N1	282	0	0.00%
Malaysia	A/H1N1	270	46	65.70%
Korea	A/H1N1	266	70	44.00%
Vietnam	A/H1N1	257	20	23.00%
Togo	A/H1N1	252	0	0.00%
Madagascar	A/H1N1	232	3	18.80%
Senegal	A/H1N1	218	0	0.00%
Argentina	A/H1N1	194	0	0.00%
Mexico	A/H1N1	194	11	25.00%
Israel	A/H1N1	193	3	15.00%
Czech Republic	A/H1N1	189	7	15.20%
Pakistan	A/H1N1	188	50	67.60%
Zambia	A/H1N1	185	0	0.00%
Bahrain	A/H1N1	179	10	83.30%
Estonia	A/H1N1	177	0	0.00%
Guatemala	A/H1N1	166	21	67.70%
Kenya	A/H1N1	161	1	25.00%
New Zealand	A/H1N1	159	0	0.00%
Finland	A/H1N1	157	3	30.00%
Bulgaria	A/H1N1	154	0	0.00%
Qatar	A/H1N1	152	0	0.00%
Albania	A/H1N1	143	0	0.00%
Ghana	A/H1N1	141	8	44.40%
Hungary	A/H1N1	140	8	61.50%
Indonesia	A/H1N1	139	19	95.00%
Iceland	A/H1N1	136	0	0.00%
Cameroon	A/H1N1	131	0	0.00%
Cote d'Ivoire	A/H1N1	127	0	0.00%
Bhutan	A/H1N1	119	0	0.00%
Lebanon	A/H1N1	119	0	0.00%
Poland	A/H1N1	109	9	60.00%
Serbia	A/H1N1	106	3	100.00%
Panama	A/H1N1	103	0	0.00%
Maldives	A/H1N1	101	0	0.00%
Philippines	A/H1N1	100	0	0.00%
Slovenia	A/H1N1	94	1	50.00%
Jamaica	A/H1N1	87	0	0.00%
Nicaragua	A/H1N1	87	0	0.00%
Niger	A/H1N1	87	0	0.00%
Croatia	A/H1N1	86	43	56.60%
Uganda	A/H1N1	83	0	0.00%
Algeria	A/H1N1	82	1	11.10%
French Guiana	A/H1N1	80	17	58.60%
Colombia	A/H1N1	68	1	100.00%
Sri Lanka	A/H1N1	68	7	46.70%
Ethiopia	A/H1N1	67	0	0.00%
Tunisia	A/H1N1	67	0	0.00%
Kazakhstan	A/H1N1	66	0	0.00%
New Caledonia	A/H1N1	65	16	57.10%
Greece	A/H1N1	65	0	0.00%
Burkina Faso	A/H1N1	63	0	0.00%
Mauritius	A/H1N1	58	0	0.00%
Macedonia	A/H1N1	55	0	0.00%
Lithuania	A/H1N1	54	4	100.00%
Taiwan	A/H1N1	53	1	100.00%
Kyrgyzstan	A/H1N1	53	0	0.00%
French Polynesia	A/H1N1	52	28	90.30%
Guyana	A/H1N1	50	0	0.00%
Honduras	A/H1N1	49	2	9.10%
Haiti	A/H1N1	49	0	0.00%
Mozambique	A/H1N1	48	0	0.00%
Iran	A/H1N1	47	0	0.00%
Fiji	A/H1N1	45	0	0.00%
Saudi Arabia	A/H1N1	44	0	0.00%
Paraguay	A/H1N1	44	0	0.00%
Puerto Rico	A/H1N1	42	4	25.00%
Bolivia	A/H1N1	39	0	0.00%
Venezuela	A/H1N1	39	0	0.00%
Mongolia	A/H1N1	39	0	0.00%
Nepal	A/H1N1	39	0	0.00%
Kosovo	A/H1N1	37	0	0.00%
Barbados	A/H1N1	34	12	70.60%
Uzbekistan	A/H1N1	33	13	100.00%
Morocco	A/H1N1	33	5	100.00%
Montenegro	A/H1N1	33	12	75.00%
Myanmar	A/H1N1	31	0	0.00%
Egypt	A/H1N1	29	0	0.00%
Brunei	A/H1N1	28	0	0.00%
Moldova	A/H1N1	28	1	11.10%
Ecuador	A/H1N1	26	0	0.00%
Uruguay	A/H1N1	25	0	0.00%
Georgia	A/H1N1	25	2	50.00%
Dominican Republic	A/H1N1	24	9	100.00%
Latvia	A/H1N1	24	0	0.00%
Armenia	A/H1N1	24	7	100.00%
Nigeria	A/H1N1	23	0	0.00%
Somalia	A/H1N1	22	0	0.00%
Reunion	A/H1N1	20	0	0.00%
Turkey	A/H1N1	20	0	0.00%
Congo	A/H1N1	18	0	0.00%
Timor-Leste	A/H1N1	18	0	0.00%
Mayotte	A/H1N1	17	0	0.00%
Tajikistan	A/H1N1	16	0	0.00%
Syrian Arab Republic	A/H1N1	16	0	0.00%
Solomon Islands	A/H1N1	16	0	0.00%
Papua New Guinea	A/H1N1	16	0	0.00%
Tuvalu	A/H1N1	13	0	0.00%
Tonga	A/H1N1	13	0	0.00%
Samoa	A/H1N1	13	2	100.00%
Martinique	A/H1N1	12	1	100.00%
Guam	A/H1N1	11	11	55.00%
El Salvador	A/H1N1	11	0	0.00%
Vanuatu	A/H1N1	10	0	0.00%
Afghanistan	A/H1N1	10	0	0.00%
Bosnia and Herzegovina	A/H1N1	9	0	0.00%
Palestinian Territory	A/H1N1	8	0	0.00%
Suriname	A/H1N1	8	0	0.00%
Mali	A/H1N1	8	0	0.00%
Central African Republic	A/H1N1	7	0	0.00%
Trinidad and Tobago	A/H1N1	4	0	0.00%
Cook Islands	A/H1N1	3	3	100.00%
Guadeloupe	A/H1N1	2	0	0.00%
Saint Martin (French Part)	A/H1N1	2	2	100.00%
Kuwait	A/H1N1	2	0	0.00%
Cyprus	A/H1N1	2	0	0.00%
Dominica	A/H1N1	2	0	0.00%
Grenada	A/H1N1	1	0	0.00%
Saint Lucia	A/H1N1	1	0	0.00%
Monaco	A/H1N1	1	0	0.00%
Netherlands Antilles	A/H1N1	1	0	0.00%
Antarctica	A/H1N1	1	0	0.00%
Belize	A/H1N1	1	0	0.00%
United States	A/H3N2	32,306	3,444	36.70%
United Kingdom	A/H3N2	6,603	135	12.80%
Spain	A/H3N2	5,633	539	23.10%
France	A/H3N2	5,267	2,004	38.20%
Australia	A/H3N2	4,240	103	19.10%
Brazil	A/H3N2	4,186	10	10.30%
Canada	A/H3N2	3,611	467	32.30%
Russian Federation	A/H3N2	3,443	10	1.60%
Netherlands	A/H3N2	3,163	580	44.50%
Germany	A/H3N2	1,987	74	12.70%
China	A/H3N2	1,874	2	6.20%
Norway	A/H3N2	1,686	75	34.40%
Denmark	A/H3N2	1,565	82	32.40%
United Arab Emirates	A/H3N2	1,526	0	0.00%
Chile	A/H3N2	1,140	0	0.00%
Thailand	A/H3N2	1,118	82	25.90%
Japan	A/H3N2	1,058	16	13.00%
Singapore	A/H3N2	928	4	33.30%
Portugal	A/H3N2	907	30	19.00%
South Africa	A/H3N2	832	7	21.90%
Italy	A/H3N2	817	71	25.20%
Mexico	A/H3N2	811	33	75.00%
Austria	A/H3N2	647	29	11.00%
Peru	A/H3N2	627	0	0.00%
Romania	A/H3N2	584	40	15.20%
Cambodia	A/H3N2	531	5	14.30%
Sweden	A/H3N2	517	38	26.80%
Switzerland	A/H3N2	492	77	33.50%
Bangladesh	A/H3N2	437	0	0.00%
India	A/H3N2	411	0	0.00%
Korea	A/H3N2	403	69	43.40%
Kenya	A/H3N2	393	2	50.00%
Belgium	A/H3N2	379	19	22.90%
Ghana	A/H3N2	344	10	55.60%
Luxembourg	A/H3N2	342	27	27.30%
Oman	A/H3N2	326	63	79.70%
Philippines	A/H3N2	321	0	0.00%
Togo	A/H3N2	317	0	0.00%
Lao	A/H3N2	312	0	0.00%
Costa Rica	A/H3N2	310	0	0.00%
New Zealand	A/H3N2	281	0	0.00%
Argentina	A/H3N2	278	0	0.00%
